"","word","mean_rel","median_rel"
"1","abstract",3.62181443179746,3.34523809523809
"2","abyss",5.6875,5.6875
"3","admission",3.74652777777778,3.65625
"4","alley",3.40832056832057,2.91666666666667
"5","angle",3.1947309226721,3
"6","appeal",4.36192537621109,4.64285714285714
"7","apron",3,1.83333333333333
"8","arch",4.24789210789211,4.05714285714286
"9","arm",3.23339694619106,2.9
"10","article",2.86673881673882,3.04166666666667
"11","atmosphere",4.18648018648019,4.07692307692308
"12","auto",3.26666666666667,3.26666666666667
"13","ballet",5.20010822510823,5.35984848484849
"14","ban",5.26767676767677,5.20833333333333
"15","bang",3.71039372243918,3.18181818181818
"16","bank",3.26148597391913,3.22727272727272
"17","banker",5.16666666666667,5.16666666666667
"18","bar",2.51627175973491,2.27272727272727
"19","barge",3.58981481481482,3.36111111111111
"20","bark",3.40237357232455,2.91666666666667
"21","barren",3.74397546897547,3.62012987012987
"22","barrier",4.86406926406926,4.8
"23","bash",3.29345654345655,3.10839160839161
"24","bat",3.25725875431758,2
"25","batter",2.94583333333334,2.66666666666667
"26","beam",2.65541422862851,2
"27","beetle",5.91666666666667,5.91666666666667
"28","bent",2.98935181747076,2.77777777777778
"29","bias",2.65515443162502,2
"30","bind",3.89109691632316,4
"31","blade",3.07655067155067,2.84615384615384
"32","blame",5.33857808857809,5.58333333333333
"33","blank",3.07427041170357,2.88311688311688
"34","blaze",3.22233938900606,2.84615384615385
"35","bleak",3.75,3.75
"36","blend",4.83386494457923,4.82380952380952
"37","blitz",4.94733044733044,4.78021978021978
"38","block",2.9945343565748,2.58333333333333
"39","bloom",4.38644384327157,4.4090909090909
"40","blow",3.21349784934884,2.92857142857143
"41","bluff",3.66029102070769,2.92329545454546
"42","board",2.57102631165131,2.19805194805194
"43","boil",4.37531363879403,5.40064102564103
"44","bolt",2.70859367162843,2.25
"45","boom",3.46716676180962,2.85714285714285
"46","bop",3.03914141414141,1.91666666666666
"47","boring",3.94412982850483,3.87820512820513
"48","bossy",2.11111111111111,2.25
"49","bound",3.04891926610422,2.8
"50","bowl",3.03609718072558,2.66666666666667
"51","bowler",1.2,1.2
"52","box",2.8042653060822,2.25833333333334
"53","boxing",3.56776832792876,3
"54","brand",3.26183751764109,2.75641025641026
"55","brass",3.59852376381788,3.92307692307692
"56","bread",3.84136696636697,3.61538461538461
"57","breakfast",6.35714285714286,6.35714285714286
"58","breed",4.13009351759352,3.95454545454546
"59","brew",4.22160987160987,4.25384615384615
"60","bride",2.17647058823529,2.17647058823529
"61","bridge",2.79657693496979,2.77380952380952
"62","brigade",4.76430976430976,5
"63","brush",3.19883347045112,2.58333333333333
"64","buff",2.54972804972805,2.25
"65","buffer",3.04990168561597,2.93333333333333
