,word,max_dominance,n,entropy
0,affect,76,2,0.7950402794
1,affected,80,2,0.7219280949
2,alley,98,2,0.1414405425
3,angle,79,2,0.7414827399
4,arch,91,2,0.4364698171
5,arm,71,2,0.8687212463
6,ash,84,2,0.7641140546
7,bail,64,3,1.355343267
8,ban,85,3,0.6716012708
9,band,60,2,0.9709505945
10,bang,66,2,0.924818705
11,bank,78,2,0.8327771394
12,banker,92,3,0.4786234134
13,bar,91,2,0.5256666624
14,bark,62,2,0.9580420222
15,barker,81,2,0.7014714599
16,barrow,79,3,0.907772994
17,base,86,2,0.5842388116
18,bass,47,3,1.295846085
19,bat,49,3,1.498445677
20,batter,43,3,1.545912264
21,bay,82,2,0.6800770457
22,bear,67,2,0.9078619154
23,beaver,96,2,0.2422921891
24,beetle,81,3,1.026637471
25,bent,93,2,0.3659236509
26,blaze,85,3,0.7961322095
27,bleak,96,2,0.2422921891
28,blow,55,2,0.992774454
29,bluff,84,2,0.6343095546
30,bob,50,3,1.339404886
31,boil,77,2,0.7780113035
32,bolt,89,2,0.5751601861
33,bongo,87,2,0.557438185
34,boom,82,2,0.6800770457
35,bop,67,2,0.9149263728
36,bore,55,4,1.601505225
37,boring,83,2,0.8769382337
38,bossy,96,3,0.2747433141
39,bound,36,4,1.950227295
40,bow,51,3,1.547931323
41,bowl,64,2,0.9426831893
42,bowler,74,2,0.8267463725
43,bowman,70,2,0.8812908992
44,box,62,3,1.142517111
45,boxing,88,2,0.5293608653
46,brake,96,3,0.2822921891
47,bride,97,2,0.1943918578
48,bridge,82,2,0.735794863
49,brook,94,2,0.3274449192
50,brush,71,2,0.8687212463
51,buck,58,4,1.587975025
52,bud,49,2,1.122296192
53,buff,48,2,1.461901189
54,buffer,53,2,0.9974015886
55,buffet,85,2,0.6098403047
56,buggy,77,2,0.7780113035
57,bull,95,2,0.2863969571
58,bully,96,2,0.2422921891
59,bunk,91,2,0.4364698171
60,burden,88,2,0.5293608653
61,bus,78,2,0.760167503
62,bush,87,2,0.6379578703
63,bust,63,2,1.100883597
64,butt,65,4,1.38580992
65,cab,97,2,0.1943918578
66,caddy,55,2,1.220151513
67,calf,62,2,0.9580420222
68,camp,86,2,0.7221707507
69,cap,80,2,0.7949163393
70,cape,72,2,0.8554508106
71,capital,91,2,0.4364698171
72,card,91,2,0.5256666624
73,cashier,98,2,0.1414405425
74,cat,92,2,0.4021791902
75,chap,72,2,0.9271170479
76,chase,86,3,0.7242388116
77,chess,96,3,0.2822921891
78,chink,56,2,0.9895875212
79,chip,73,2,1.064383798
80,chop,82,3,0.8584707365
81,chord,72,2,0.8554508106
82,chow,75,2,0.8112781245
83,chuck,66,3,1.417402503
84,chum,55,2,0.992774454
85,chump,79,2,0.7414827399
86,chute,38,3,1.570575053
87,clip,52,2,0.998845536
88,clock,96,2,0.2422921891
89,clutch,78,2,0.946144709
90,cock,66,3,1.268871821
91,cocktail,95,2,0.2863969571
92,coil,91,2,0.4364698171
93,colon,50,3,1.121146095
94,coma,95,2,0.2863969571
95,commune,66,2,0.924818705
96,compact,83,2,0.6577047787
97,compound,65,2,0.9340680554
98,console,62,2,1.142517111
99,content,55,2,0.992774454
100,converse,70,2,1.021989577
101,cop,86,3,0.6362113374
102,cope,92,2,0.4021791902
103,corn,89,2,0.4999159582
104,corporal,87,2,0.557438185
