,word,max_dominance,n,entropy
0,acontecer,53,2,0.997
1,acostado,100,2,0.0
2,arar,100,2,0.0
3,asa,100,3,0.0
4,adagio,78,2,0.979
5,asilo,100,2,0.0
6,afinar,75,2,0.811
7,baila,100,2,0.0
8,baile,100,2,0.0
9,bar,100,2,0.0
10,bol,100,3,0.0
11,alero,92,2,0.502
12,bonito,100,2,0.0
13,brisa,100,2,0.0
14,alfombra,80,2,0.722
15,alumbrado,67,2,1.148
16,bufete,100,2,0.0
17,busca,100,2,0.0
18,caramba,100,3,0.0
19,carro,100,2,0.0
20,andante,71,2,0.869
21,andar,52,2,0.999
22,angostura,100,2,0.0
23,angular,59,2,0.977
24,caza,100,2,0.0
25,cobre,100,2,0.0
26,coronel,100,2,0.0
27,aplomo,87,2,0.557
28,apostolado,80,2,0.722
29,corteza,100,2,0.0
30,arca,72,2,1.054
31,arce,100,2,0.0
32,costo,100,3,0.0
33,coto,100,6,0.0
34,curioso,100,2,0.0
35,dato,100,2,0.0
36,arquero,91,2,0.436
37,distinto,100,2,0.0
38,arrendador,93,2,0.366
39,escolar,100,2,0.0
40,grillo,100,2,0.0
41,hacha,100,2,0.0
42,hoz,100,2,0.0
43,jota,100,4,0.0
44,ateneo,68,2,0.904
45,atestado,50,2,1.265
46,libreta,100,2,0.0
47,limón,100,2,0.0
48,auricular,91,2,0.436
49,austral,66,2,0.925
50,auto,79,2,0.962
51,lobo,100,3,0.0
52,avería,96,2,0.242
53,aviador,100,2,0.0
54,maleta,100,3,0.0
55,ayuno,71,2,0.869
56,manso,100,2,0.0
57,melena,100,2,0.0
58,místico,100,2,0.0
59,balear,99,3,0.081
60,mito,100,2,0.0
61,bando,79,2,0.948
62,moto,100,3,0.0
63,musgo,100,2,0.0
64,barata,79,3,0.866
65,barbero,98,2,0.141
66,parto,100,2,0.0
67,barrera,100,2,0.0
68,pensador,100,2,0.0
69,pez,100,2,0.0
70,pino,100,2,0.0
71,bateo,99,2,0.081
72,raja,100,2,0.0
73,beta,94,2,0.327
74,bohemia,74,2,0.827
75,rato,100,3,0.0
76,boliche,76,2,0.842
77,bolo,97,2,0.194
78,bolsa,61,2,0.965
79,resta,100,2,0.0
80,borda,90,2,0.469
81,ridículo,100,2,0.0
82,borra,88,2,0.597
83,sabio,100,2,0.0
84,sor,100,2,0.0
85,botero,50,3,1.0
86,botica,100,2,0.0
87,taller,100,2,0.0
88,trío,100,2,0.0
89,braga,80,2,0.722
90,trofeo,100,2,0.0
91,bretón,100,2,0.0
92,violar,100,2,0.0
93,viril,100,2,0.0
94,amante,99,2,0.081
95,buda,100,2,0.0
96,áspero,99,2,0.081
97,aura,99,2,0.081
98,bufón,97,2,0.194
99,baba,99,2,0.081
100,basto,99,2,0.081
101,cacho,86,4,0.724
102,cala,78,3,0.76
103,buey,99,2,0.081
104,calandria,99,2,0.081
105,calabozo,99,2,0.081
106,callada,74,3,0.827
107,cama,98,2,0.141
108,can,92,2,0.402
109,chorizo,99,2,0.081
110,canario,72,2,0.855
111,derrota,99,2,0.081
112,destreza,99,2,0.081
113,doña,99,2,0.081
114,cantón,80,2,0.722
115,canuto,83,2,0.658
116,cañada,99,2,0.081
117,capitular,70,2,0.881
118,capón,95,2,0.286
119,onza,99,2,0.081
120,cardenal,86,2,0.584
121,carne,92,2,0.402
122,poncho,99,2,0.081
123,pudor,99,2,0.081
124,rampa,99,2,0.081
125,cartel,78,2,0.76
126,rima,99,3,0.081
127,casete,93,2,0.366
128,castro,94,2,0.366
129,casual,92,2,0.402
130,cata,100,4,0.0
131,caudal,85,2,0.61
132,cava,83,4,0.658
133,robo,99,2,0.081
134,cebo,85,2,0.718
135,celestina,75,3,0.811
136,celo,100,2,0.0
137,cena,100,2,0.0
138,romero,99,2,0.081
139,ceniza,81,2,0.701
140,centenar,88,2,0.529
141,centeno,63,2,0.951
142,toro,99,2,0.081
143,tuyo,99,2,0.081
144,cesión,92,2,0.402
145,rota,99,3,0.081
146,champán,100,2,0.0
147,borde,98,2,0.141
148,cancha,98,2,0.141
149,chavo,98,2,0.141
150,checo,100,2,0.0
151,chinchón,90,3,0.557
152,chino,65,3,1.141
153,chivo,86,2,0.584
154,cuna,98,2,0.141
155,curro,98,3,0.141
156,chucho,91,5,0.436
157,chupa,57,3,1.407
158,cinema,81,2,0.701
159,fresa,98,2,0.141
160,clip,61,2,0.965
161,gama,98,2,0.141
162,lapso,98,2,0.141
163,marrón,98,3,0.141
164,coca,52,6,1.069
165,pienso,98,2,0.141
166,cochero,96,3,0.242
167,pulsar,98,2,0.141
168,rito,98,2,0.141
169,rol,98,2,0.141
170,colada,100,2,0.0
171,cole,99,2,0.081
172,cólera,100,2,0.0
173,cortés,98,2,0.141
174,cuco,99,3,0.16
175,balsa,98,3,0.161
176,ala,97,2,0.194
177,combinado,85,2,0.755
178,combo,79,2,0.741
179,delfín,97,2,0.194
180,comuna,97,2,0.194
181,hormigón,97,2,0.194
182,tango,97,2,0.222
183,condesa,89,2,0.5
184,argentino,96,2,0.242
185,contención,96,2,0.242
186,daga,96,2,0.242
187,coral,42,3,1.5
188,coro,99,3,0.16
189,indio,96,2,0.242
190,correo,91,2,0.436
191,corso,51,2,1.376
192,corte,69,2,0.893
193,crema,100,2,0.0
194,mole,96,3,0.242
195,brusco,96,3,0.275
196,costero,83,3,0.817
197,casar,96,3,0.282
198,cota,50,3,1.201
199,cabalgar,95,2,0.286
200,cuadra,54,2,1.496
201,cromo,65,2,0.934
202,cubo,74,2,0.827
203,cuento,99,2,0.081
204,moral,95,2,0.286
205,cuesta,54,2,1.663
206,avión,94,2,0.327
207,ceño,94,2,0.327
208,chasco,94,2,0.327
209,foto,94,2,0.327
210,dama,97,3,0.222
211,pasto,94,2,0.327
212,decoración,54,2,0.995
213,data,96,2,0.242
214,pata,94,2,0.327
215,debutante,86,2,0.584
216,decorado,52,2,0.999
217,decorar,91,2,0.436
218,dieta,94,2,0.327
219,decoro,53,2,1.256
220,patada,94,2,0.327
221,bata,93,2,0.366
222,deposición,54,2,0.995
223,huelga,93,2,0.366
224,despecho,89,2,0.5
225,tuna,93,2,0.366
226,velero,93,2,0.366
227,falla,94,4,0.383
228,dial,89,2,0.5
229,alfil,92,2,0.402
230,dona,73,2,1.111
231,dental,92,2,0.402
232,ejemplar,70,2,0.881
233,estaño,92,2,0.402
234,muelle,92,2,0.402
235,panda,92,3,0.402
236,empiezo,94,2,0.327
237,empaque,79,2,0.741
238,entender,82,2,0.68
239,escote,100,2,0.0
240,ducha,94,3,0.404
241,escobar,80,2,0.722
242,agro,91,2,0.436
243,melón,91,2,0.436
244,especular,86,2,0.716
245,espera,100,2,0.0
246,mero,91,2,0.436
247,estafa,92,2,0.41
248,esquilo,100,2,0.0
249,estela,71,3,1.142
250,pagano,91,3,0.436
251,ético,100,2,0.0
252,porro,91,3,0.436
253,brecha,90,2,0.469
254,excusa,82,3,0.797
255,euro,100,2,0.0
256,facha,55,3,1.488
257,excusado,62,2,0.958
258,faisán,70,2,1.177
259,fallo,56,2,0.99
260,cantar,90,2,0.469
261,fijo,94,2,0.327
262,filo,80,2,0.722
263,filtro,92,2,0.402
264,galleta,94,2,0.383
265,jerga,90,2,0.469
266,orilla,90,2,0.469
267,gaceta,65,2,0.934
