word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,Val_Mean,AoA,SemD,Length,LgSUBTLWF,OLD,log_rt,max_dom_scaled
abdomen,806.1290322580645,0.3277071523389214,1,4,0.5417091418594572,0.6049503820704263,0.7784431137724551,5.43,8.61,1.23,7,2.236,3.0,2.9064045622921775,77.84431137724552
abduction,795.875,0.4147565930088546,1,2,0.5133531208586247,0.8079362453570762,0.8854961832061069,2.05,11.94,1.48,9,2.269,2.7,2.900844862871898,88.54961832061069
abide,773.2121212121212,0.6721889033925668,1,6,0.8549396574032223,0.7862413417974559,0.4017094017094017,5.52,9.5,1.93,5,2.143,1.7,2.8882986536005353,40.17094017094017
ability,590.258064516129,0.3036632202521568,1,3,0.4084551922713112,0.7434431634068991,0.8761061946902655,7.0,8.84,2.06,7,2.992,2.3,2.7710419294245097,87.61061946902655
able,623.3030303030303,0.3108105637721908,1,3,0.5246455665662213,0.5924200709565322,0.8181818181818182,6.64,7.79,2.23,4,3.912,1.5,2.7946992383001255,81.81818181818183
abnormal,684.9090909090909,0.4178434577073766,1,4,0.4680588604814786,0.8927156240083844,0.8211920529801324,3.53,10.05,1.48,8,2.173,3.1,2.8356329307090236,82.11920529801324
abode,855.8333333333334,0.1046248805884414,1,2,0.3945375643132796,0.2651835719890154,0.9221556886227544,5.28,12.06,1.65,5,1.532,1.8,2.932389197549653,92.21556886227545
abortion,686.84375,0.5485660410048033,1,4,0.66635371542718,0.8232355103672432,0.496551724137931,2.58,13.21,1.23,8,2.568,2.55,2.8368579506974334,49.6551724137931
abrasive,710.59375,0.1254199794637061,1,2,0.2538784402981615,0.4940158735669306,0.9574468085106383,4.26,12.22,1.5,8,1.38,2.9,2.851621383349694,95.74468085106383
abrupt,690.9705882352941,0.620672006612253,1,2,0.7857442778261531,0.7899160377335608,0.7655172413793103,3.28,10.95,1.83,6,1.771,2.7,2.8394595616448703,76.55172413793103
absence,687.0,0.5533751284920282,1,6,0.7195276647349079,0.7690811008578878,0.5901639344262295,3.86,7.7,2.16,7,2.509,2.65,2.8369567370595505,59.01639344262295
absent,665.3235294117648,0.5723544876932262,1,5,0.7160038672790986,0.799373458509718,0.5947712418300654,4.1,6.5,2.12,6,2.121,1.95,2.8230328827020177,59.47712418300654
absolute,707.0294117647059,0.7695085388728278,1,5,0.8674931085077291,0.8870485901571536,0.3821138211382114,5.43,8.53,2.11,8,2.762,2.9,2.849437480418443,38.21138211382114
absorb,632.9090909090909,0.4263477164073918,1,4,0.5349947070500987,0.7969195036680375,0.7903225806451613,5.5,8.83,1.96,6,2.009,2.55,2.8013413337900444,79.03225806451613
abstain,705.6896551724138,0.7258233020633847,1,8,0.9348523873262196,0.776404180920283,0.2096774193548387,4.4,12.95,1.69,7,1.431,2.75,2.848613751082332,20.96774193548387
abstract,667.9090909090909,0.6668311708309711,1,6,0.7903453523822029,0.8437212527676108,0.4747474747474747,5.25,11.47,1.66,8,2.049,2.65,2.8247173546861513,47.47474747474747
absurd,736.5666666666667,0.3335655761201532,1,3,0.7045634878447694,0.4734357965958704,0.6028368794326241,4.45,10.5,1.89,6,2.696,2.7,2.8672120609616147,60.28368794326241
abundance,698.7272727272727,0.3908003896196442,1,5,0.5053383381531279,0.7733440353010059,0.7794117647058824,6.67,10.45,1.84,9,1.663,3.55,2.8443076949701047,77.94117647058823
abundant,660.75,0.3805227091973442,1,2,0.4605229209452513,0.8262839739144758,0.9026548672566372,7.55,12.84,1.68,8,1.477,3.35,2.820037171803748,90.26548672566372
abuse,608.6875,0.6550197587304223,1,4,0.8513442029933038,0.7693947482432958,0.4257425742574257,1.53,8.61,1.66,5,2.719,1.8,2.784394383177742,42.574257425742566
abusive,799.2424242424242,0.6474954023759272,1,4,0.861617282873842,0.7514884105112982,0.4322033898305085,2.05,9.58,1.39,7,1.924,2.8,2.902678528427862,43.22033898305085
academic,716.90625,0.0,0,1,0.0,0.0,1.0,6.61,9.74,1.59,8,2.378,3.3,2.8554623665886862,100.0
academy,614.3030303030303,0.3165954324233653,1,3,0.3907818772007452,0.8101589426081032,0.879746835443038,5.32,9.05,1.61,7,2.802,3.15,2.7883826576614785,87.9746835443038
accelerate,710.8529411764706,0.1318023807709573,1,2,0.1734293450927817,0.7599773884889276,0.9740932642487048,6.1,10.74,1.84,10,1.819,3.25,2.85177976466592,97.40932642487049
acceleration,712.15625,0.2182739077707868,1,2,0.2817615778850653,0.7746759136187973,0.9510869565217392,6.19,9.84,1.44,12,1.653,3.2,2.8525752900807255,95.10869565217392
accent,674.969696969697,0.3269151071657607,1,2,0.4236805715709105,0.7716075012683126,0.913793103448276,6.48,8.6,1.66,6,2.794,1.85,2.8292842754469323,91.3793103448276
accept,556.3939393939394,0.5102037526467803,1,4,0.667077692151946,0.7648340795221299,0.5158730158730159,6.39,6.74,2.08,6,3.43,2.35,2.7453823907267227,51.587301587301596
acceptable,659.90625,0.2720109864125543,1,4,0.3504812741434532,0.7761070461676628,0.8839285714285714,6.59,9.84,2.08,10,2.431,3.6,2.8194822416030045,88.39285714285714
acceptance,644.8484848484849,0.6706023297758111,1,7,0.8558835577232179,0.7835205194965033,0.4074074074074074,6.84,8.56,1.98,10,2.209,3.8,2.8094576837451233,40.74074074074074
access,662.5,0.4712393624763608,1,4,0.6620752764230028,0.7117610024985799,0.6902654867256637,6.68,9.1,1.92,6,3.208,2.0,2.8211858826088454,69.02654867256636
accessory,687.3636363636364,0.6853240923684969,1,5,0.8084758139404706,0.8476742044122032,0.4206349206349206,5.35,11.15,1.57,9,2.17,3.25,2.837186552903994,42.063492063492056
accident,607.939393939394,0.5790887001711589,1,6,0.6868999406689764,0.8430466591788908,0.5801526717557252,2.55,5.3,1.62,8,3.618,2.7,2.783860286197695,58.01526717557252
accompany,725.84375,0.1830635929702299,1,2,0.2801781466227599,0.6533828393715237,0.9514563106796116,5.47,10.75,2.05,9,2.386,3.7,2.860843141614539,95.14563106796116
accomplish,773.1212121212121,0.5002518981707466,1,4,0.7107708001003799,0.7038160516724907,0.5357142857142857,7.45,7.84,1.88,10,2.476,3.75,2.888247589168655,53.57142857142857
accomplishment,845.7272727272727,0.3182405915619819,1,3,0.4146636182118086,0.7674668757639254,0.8759124087591241,8.05,9.0,1.83,14,1.987,4.7,2.9272303357987637,87.59124087591242
accord,691.9032258064516,0.5937675703415982,1,6,0.799651475524619,0.7425329515612428,0.4016393442622951,6.38,9.65,1.88,6,1.924,2.45,2.8400453553855085,40.16393442622951
accountant,817.1875,0.5979666733554171,1,4,0.8029443056799648,0.7447174967497097,0.5679012345679012,5.19,11.67,1.49,10,2.5,3.6,2.912321714883387,56.79012345679012
accounting,632.0882352941177,0.7685443519495251,1,2,0.9958699965528488,0.771731606143172,0.5378151260504201,4.42,12.05,1.33,10,2.364,2.7,2.8007777071219495,53.78151260504202
accumulate,734.0882352941177,0.4723466441272577,1,4,0.7812034868808114,0.6046397027914494,0.5378787878787878,6.33,12.3,1.87,10,1.477,3.45,2.865748264000906,53.78787878787878
accuracy,615.969696969697,0.3354756122036813,1,2,0.5197027865043055,0.6455143611220604,0.8833333333333333,6.32,9.71,1.88,8,1.887,3.6,2.789559347290142,88.33333333333333
accurate,728.2424242424242,0.1861598157301331,1,3,0.2197677688012009,0.8470751500349939,0.9477124183006536,7.42,9.44,2.05,8,2.603,2.75,2.862275975446187,94.77124183006535
accusation,819.0625,0.3466789857971161,1,2,0.5175827525559072,0.6698039764369259,0.8840579710144928,3.38,10.17,1.77,10,2.158,2.95,2.9133170426266943,88.40579710144928
accuse,661.6176470588235,0.3961802729148231,1,5,0.5100580557523424,0.7767356449854556,0.7768595041322314,2.68,9.1,1.87,6,2.464,2.25,2.8206070804593306,77.68595041322314
ace,579.0294117647059,0.5395183940009238,1,6,0.6703918315973848,0.8047806798531232,0.6339869281045751,6.37,8.83,1.26,3,2.876,1.0,2.7627006242502308,63.39869281045751
ache,631.6551724137931,0.1010733323811567,1,2,0.1951473180458275,0.517933494517312,0.9698492462311558,3.27,5.79,1.4,4,2.107,1.65,2.8004800567833494,96.98492462311557
achieve,702.8181818181819,0.3563958680659214,1,3,0.6698104563944839,0.5320846586724866,0.7361111111111112,7.75,8.53,2.07,7,2.574,2.65,2.8468429881123423,73.61111111111111
achievement,746.6764705882352,0.1534327629939393,1,2,0.1947687817448002,0.7877687667368467,0.9699248120300752,7.28,8.8,1.87,11,2.253,4.5,2.873132465973097,96.99248120300751
acknowledge,771.375,0.5792824753031292,1,6,0.8383013054725171,0.6910194121391838,0.4462809917355372,6.43,9.11,1.99,11,2.497,4.35,2.887265559422443,44.62809917355372
acne,624.516129032258,0.5661676288840947,1,4,0.9294950326695128,0.6091131302316477,0.425,2.18,11.4,1.33,4,1.672,1.75,2.795543659138102,42.5
acorn,721.9629629629629,0.1698811070043467,1,4,0.2489708485165826,0.6823333254336073,0.925925925925926,5.85,5.95,1.5,5,1.58,1.8,2.858514918631429,92.59259259259261
acoustic,793.4375,0.1729064640872241,1,3,0.2611390232698326,0.6621241893386477,0.9345238095238096,7.1,12.39,0.96,8,1.699,3.1,2.8995127225538164,93.45238095238096
acquaintance,870.3030303030303,0.322050544138846,1,4,0.4261388413611691,0.755740882737079,0.8445945945945946,5.58,10.48,1.69,12,2.438,5.3,2.939670495692375,84.45945945945947
acquire,673.939393939394,0.4048112817503109,1,3,0.7242300100044479,0.5589540286349426,0.6602564102564102,5.5,9.94,1.96,7,2.134,2.55,2.8286208430321325,66.02564102564102
acre,723.0,0.5281551735228367,1,4,0.74937358852524,0.7047955540603466,0.5869565217391305,5.53,9.8,1.51,4,1.973,1.7,2.859138297294531,58.69565217391305
act,635.1818181818181,0.4575737494510075,1,6,0.6035969311060658,0.7580783232487995,0.6946107784431138,5.64,6.42,1.99,3,3.745,1.5,2.802898058096118,69.46107784431138
action,566.7272727272727,0.5353954921448015,1,5,0.6652224827925907,0.8048367365715332,0.5803571428571429,6.0,6.67,2.1,6,3.494,1.85,2.753374112782596,58.03571428571429
activate,657.3529411764706,0.305009819969548,1,5,0.3974331763617422,0.7674493175474844,0.8455882352941176,5.7,11.11,1.44,8,2.378,2.6,2.8177986104257,84.55882352941177
active,632.7428571428571,0.6220266831326304,1,5,0.8775944979523228,0.7087859878155519,0.3795620437956204,6.47,6.53,2.06,6,2.767,2.1,2.801227251229025,37.95620437956204
