word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,cnt,log_cnt,frq,log_frq,log_frqN,zipf,max_lem_cat,max_lem_cat_sum_perc,max_lem_lemma,max_lem_code,max_lem_perc,all_lem_cnt,all_lem_frq,all_lem_log_cnt,all_lem_log2_cnt,num_letters,sa_orth_cv_structure,sa_orth_syll_structure,rep_letters,N,NHF,frq_hf_s,hf_s,hf_s_list,P,PHF,avg_frq_Ns,N_TL,frq_hf_tl,hf_tl,hf_tl_list,N_A,frq_hf_A,hf_A,hf_A_list,N_D,frq_hf_D,hf_D,hf_D_list,orth_uniq_point,Lev_N,sa_num_phon,sa_num_syll,sa_init_phon,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_homoph,sa_homoph_list,sa_NP,sa_NPHF,sa_frq_hfp,sa_hfp,sa_hfp_list,sa_pf,sa_pf_hf,sa_avg_frq_Np,sa_phon_uniq_point,familiarity,imageability,concreteness,log_rt,max_dom_scaled
abajo,882.1551155115511,0.0,0,1,0.0,0.0,1.0,19620,4.292721,63.748376,1.811229,1.804491,4.804469,ADVERB,95.356779,abajo,RG,95.356779,19620,48.511522,4.292699,18.427265,5,VCVCV,a·ba·jo,1,8,0,1.322405,atajo,OOOOOO;atajo;abano;abato;abalo;abaja;abajó;abaje;abaño,3,0,0.189669,0,0.0,,,0,0.0,,,1,442.297409,bajo,bajo;OOOOOO,5,1.55,5,3,a,aBaxo,VCVCV,2,1,abajó,21,0,3.587065,ábaco,OOOOOO;ábaco;avaro;atajo;atajó;avaló;navajo;habano;hatajo;abano;abato;abalo;abaja;avalo;abaló;abaje;habado;alhajó;abaño;aballo;lavajo;alhajo,3,0,0.47778,5,,,,2.9455449568865544,100.0
abandonar,965.330985915493,0.0,0,1,0.0,0.0,1.0,13545,4.131811,44.009773,1.653307,1.643581,4.643549,VERB,99.483204,abandonar,VMN0000,99.483204,44175,109.225101,4.645177,21.577665,9,VCVCCVCVC,a·ban·do·nar,1,3,0,4.730766,abandonan,OOOOOO;abandonan;abandonas;abandonad,1,0,1.706888,0,0.0,,,4,2.245165,abandonara,OOOOOO;abandonara;abandonará;abandonaré;abandonare,1,14.205296,abandona,OOOOOO;abandona,10,1.6,9,4,a,aBandonar,VCVCCVCVC,4,0,,8,0,14.205296,abandona,OOOOOO;abandona;abandonan;abandonara;abandonará;abandonas;abandonaré;abandonad;abandonare,2,0,2.924238,10,6.048,4.162,4.219,2.984676246722725,100.0
abanico,933.8082595870206,0.4488704997150766,1,2,0.4873695710236627,0.9210064115662302,0.8941176470588236,2187,3.340047,7.105897,0.908801,0.851817,3.851619,NOUN,100.0,abanico,NCMS000,97.896662,2452,6.062704,3.38952,11.488849,7,VCVCVCV,a·ba·ni·co,1,2,0,0.058485,abanica,OOOOOO;abanica;abanicó,1,0,0.055236,0,0.0,,,1,0.887019,abanicos,OOOOOO;abanicos,0,0.0,,,8,1.85,7,4,a,aBaniko,VCVCVCV,3,1,abanicó,4,0,0.887019,abanicos,OOOOOO;abanicos;abanica;abaniqueo;abaniqué,2,0,0.239625,8,5.166,5.728,6.089,2.970257710971101,89.41176470588236
abastecer,937.1898016997168,0.8387614442909613,1,2,0.9860400318404436,0.8506362999536776,0.5694444444444444,814,2.911158,2.64481,0.561675,0.422928,3.422394,VERB,99.385749,abastecer,VMN0000,99.385749,2184,5.400059,3.339253,11.150608,9,VCVCCVCVC,a·bas·te·cer,1,2,0,0.721312,abastecen,OOOOOO;abastecen;abasteces,1,0,0.36228,0,0.0,,,1,0.061734,abastecerá,OOOOOO;abastecerá,2,1.432876,abastece,OOOOOO;abastece;bastecer,10,1.85,9,4,a,aBasteser,VCVCCVCVC,4,0,,4,0,1.432876,abastece,OOOOOO;abastece;abastecen;abastecerá;abasteces,2,0,0.554793,10,,,,2.971827554050367,56.94444444444444
abdomen,896.260736196319,0.5907080365550084,1,3,0.6562064450808435,0.9001862767169777,0.7538461538461538,1282,3.108227,4.165414,0.713105,0.619997,3.619658,NOUN,100.0,abdomen,NCMS000,98.127925,1290,3.189595,3.11059,9.675768,7,VCCVCVC,ab·do·men,0,0,0,0.0,,,0,0,0.0,0,0.0,,,0,0.0,,,0,0.0,,,6,2.55,7,3,a,aBDomen,VCCVCVC,2,0,,0,0,0.0,,,0,0,0.0,8,,,,2.952434371066809,75.38461538461539
abecedario,1150.9303797468351,0.4015970531370974,1,3,0.5055830406438052,0.7943246130758403,0.8372093023255814,159,2.20412,0.516615,0.180875,-0.28411,2.713167,NOUN,100.0,abecedario,NCMS000,88.050314,165,0.407972,2.217484,4.917235,10,VCVCVCVCVV,a·be·ce·da·rio,1,0,0,0.0,,,0,0,0.0,0,0.0,,,1,0.019495,abecedarios,OOOOOO;abecedarios,0,0.0,,,11,3.6,10,5,a,aBeseDarjo,VCVCVCVCVV,4,0,,1,0,0.019495,abecedarios,OOOOOO;abecedarios,1,0,0.019495,11,,,,3.0610490537720643,83.72093023255815
abeja,860.0562248995984,0.2861015720913618,1,2,0.4873695710236627,0.5870320781218223,0.8941176470588236,1705,3.231979,5.539805,0.815565,0.743749,3.743494,NOUN,100.0,abeja,NCFS000,87.917889,6959,17.206508,3.842547,14.765166,5,VCVCV,a·be·ja,1,7,1,7.352833,aleja,aleja;OOOOOO;abeba;aneja;abuja;añeja;abela;abaja,3,1,1.366965,0,0.0,,,2,17.214011,abejas,abejas;OOOOOO;abejar,0,0.0,,,6,1.55,5,3,a,aBexa,VCVCV,2,0,,17,3,20.924543,oveja,oveja;abejas;aleja;OOOOOO;avena;abeba;aneja;aqueja;abuja;abella;añeja;arveja;abela;abejar;abaja;abellá;aveza;aberra,5,3,3.013494,6,5.635,6.593,6.418,2.9345268435290017,89.41176470588236
abejorro,1074.5,0.6628966628772839,1,2,0.8970964164730477,0.7389358052320343,0.6865671641791045,72,1.863323,0.233939,0.091294,-0.624907,2.369103,NOUN,100.0,abejorro,NCMS000,90.277778,153,0.378301,2.184691,4.772877,8,VCVCVCCV,a·be·jo·rro,1,0,0,0.0,,,0,0,0.0,0,0.0,,,2,0.26968,abejorros,abejorros;OOOOOO;abejorreo,0,0.0,,,9,2.75,7,4,a,aBexoRo,VCVCVCV,3,0,,2,1,0.26968,abejorros,abejorros;OOOOOO;abejorreo,1,1,0.139714,8,,,,3.031206419827462,68.65671641791045
aberración,988.3523489932886,0.5996455615923558,1,4,0.8130129476320577,0.7375596702842859,0.5106382978723404,488,2.689309,1.585587,0.412559,0.201079,3.20019,NOUN,100.0,aberración,NCFS000,97.336066,819,2.025022,2.913284,8.487223,10,VCVCCVCVVC,a·be·rra·ción,1,0,0,0.0,,,0,0,0.0,0,0.0,,,0,0.0,,,0,0.0,,,9,2.9,9,4,a,aBeRasjon,VCVCVCVVC,4,0,,0,0,0.0,,,0,0,0.0,10,3.905,2.306,4.177,2.994911798781708,51.06382978723404
aberrante,1064.884476534296,0.0,0,1,0.0,0.0,1.0,248,2.396199,0.80579,0.256667,-0.092031,2.906222,ADJECTIVE,99.193548,aberrante,AQ0CS0,99.193548,386,0.954406,2.586587,6.690434,9,VCVCCVCCV,a·be·rran·te,1,1,0,0.045488,aterrante,OOOOOO;aterrante,1,0,0.045488,0,0.0,,,1,0.451632,aberrantes,OOOOOO;aberrantes,0,0.0,,,10,2.3,8,4,a,aBeRante,VCVCVCCV,3,0,,2,0,0.451632,aberrantes,OOOOOO;aberrantes;aterrante,2,0,0.24856,9,,,,3.0273024961081028,100.0
