word,Ambiguity,N,Entropy,Dissimilarity,Dominance
abdomen,0.3277071523389214,4,0.5417091418594572,0.6049503820704263,0.7784431137724551
abduction,0.4147565930088546,2,0.5133531208586247,0.8079362453570762,0.8854961832061069
abide,0.6721889033925668,6,0.8549396574032223,0.7862413417974559,0.4017094017094017
ability,0.3036632202521568,3,0.4084551922713112,0.7434431634068991,0.8761061946902655
able,0.3108105637721908,3,0.5246455665662213,0.5924200709565322,0.8181818181818182
abnormal,0.4178434577073766,4,0.4680588604814786,0.8927156240083844,0.8211920529801324
abode,0.1046248805884414,2,0.3945375643132796,0.2651835719890154,0.9221556886227544
abortion,0.5485660410048033,4,0.66635371542718,0.8232355103672432,0.496551724137931
abrasive,0.1254199794637061,2,0.2538784402981615,0.4940158735669306,0.9574468085106383
abrupt,0.620672006612253,2,0.7857442778261531,0.7899160377335608,0.7655172413793103
absence,0.5533751284920282,6,0.7195276647349079,0.7690811008578878,0.5901639344262295
absent,0.5723544876932262,5,0.7160038672790986,0.799373458509718,0.5947712418300654
absolute,0.7695085388728278,5,0.8674931085077291,0.8870485901571536,0.3821138211382114
absorb,0.4263477164073918,4,0.5349947070500987,0.7969195036680375,0.7903225806451613
abstain,0.7258233020633847,8,0.9348523873262196,0.776404180920283,0.2096774193548387
abstract,0.6668311708309711,6,0.7903453523822029,0.8437212527676108,0.4747474747474747
absurd,0.3335655761201532,3,0.7045634878447694,0.4734357965958704,0.6028368794326241
abundance,0.3908003896196442,5,0.5053383381531279,0.7733440353010059,0.7794117647058824
abundant,0.3805227091973442,2,0.4605229209452513,0.8262839739144758,0.9026548672566372
abuse,0.6550197587304223,4,0.8513442029933038,0.7693947482432958,0.4257425742574257
abusive,0.6474954023759272,4,0.861617282873842,0.7514884105112982,0.4322033898305085
academic,0.0,1,0.0,0.0,1.0
academy,0.3165954324233653,3,0.3907818772007452,0.8101589426081032,0.879746835443038
accelerate,0.1318023807709573,2,0.1734293450927817,0.7599773884889276,0.9740932642487048
acceleration,0.2182739077707868,2,0.2817615778850653,0.7746759136187973,0.9510869565217392
accent,0.3269151071657607,2,0.4236805715709105,0.7716075012683126,0.913793103448276
accept,0.5102037526467803,4,0.667077692151946,0.7648340795221299,0.5158730158730159
acceptable,0.2720109864125543,4,0.3504812741434532,0.7761070461676628,0.8839285714285714
acceptance,0.6706023297758111,7,0.8558835577232179,0.7835205194965033,0.4074074074074074
access,0.4712393624763608,4,0.6620752764230028,0.7117610024985799,0.6902654867256637
accessory,0.6853240923684969,5,0.8084758139404706,0.8476742044122032,0.4206349206349206
accident,0.5790887001711589,6,0.6868999406689764,0.8430466591788908,0.5801526717557252
accompany,0.1830635929702299,2,0.2801781466227599,0.6533828393715237,0.9514563106796116
accomplish,0.5002518981707466,4,0.7107708001003799,0.7038160516724907,0.5357142857142857
accomplishment,0.3182405915619819,3,0.4146636182118086,0.7674668757639254,0.8759124087591241
accord,0.5937675703415982,6,0.799651475524619,0.7425329515612428,0.4016393442622951
accountant,0.5979666733554171,4,0.8029443056799648,0.7447174967497097,0.5679012345679012
accounting,0.7685443519495251,2,0.9958699965528488,0.771731606143172,0.5378151260504201
accumulate,0.4723466441272577,4,0.7812034868808114,0.6046397027914494,0.5378787878787878
accuracy,0.3354756122036813,2,0.5197027865043055,0.6455143611220604,0.8833333333333333
accurate,0.1861598157301331,3,0.2197677688012009,0.8470751500349939,0.9477124183006536
accusation,0.3466789857971161,2,0.5175827525559072,0.6698039764369259,0.8840579710144928
accuse,0.3961802729148231,5,0.5100580557523424,0.7767356449854556,0.7768595041322314
ace,0.5395183940009238,6,0.6703918315973848,0.8047806798531232,0.6339869281045751
ache,0.1010733323811567,2,0.1951473180458275,0.517933494517312,0.9698492462311558
achieve,0.3563958680659214,3,0.6698104563944839,0.5320846586724866,0.7361111111111112
achievement,0.1534327629939393,2,0.1947687817448002,0.7877687667368467,0.9699248120300752
acknowledge,0.5792824753031292,6,0.8383013054725171,0.6910194121391838,0.4462809917355372
acne,0.5661676288840947,4,0.9294950326695128,0.6091131302316477,0.425
acorn,0.1698811070043467,4,0.2489708485165826,0.6823333254336073,0.925925925925926
acoustic,0.1729064640872241,3,0.2611390232698326,0.6621241893386477,0.9345238095238096
acquaintance,0.322050544138846,4,0.4261388413611691,0.755740882737079,0.8445945945945946
acquire,0.4048112817503109,3,0.7242300100044479,0.5589540286349426,0.6602564102564102
acre,0.5281551735228367,4,0.74937358852524,0.7047955540603466,0.5869565217391305
act,0.4575737494510075,6,0.6035969311060658,0.7580783232487995,0.6946107784431138
action,0.5353954921448015,5,0.6652224827925907,0.8048367365715332,0.5803571428571429
activate,0.305009819969548,5,0.3974331763617422,0.7674493175474844,0.8455882352941176
active,0.6220266831326304,5,0.8775944979523228,0.7087859878155519,0.3795620437956204
activist,0.6122879490129357,6,0.7307948129176532,0.8378383893673436,0.4675324675324675
