,word,Ambiguity,N,Entropy,Dissimilarity,Dominance,Communities,Norms
0,duda,0,1,0,0,1.0,"[['consulta', 'cuestionamiento', 'desconfianza', 'desconocimiento', 'incertidumbre', 'inquietud', 'inseguridad', 'interrogación', 'interrogante', 'pensamiento', 'pregunta', 'respuesta', 'saber']]",[100]
1,incógnita,0.16656097098985598,2,0.23519338181924146,0.7081873210100227,0.9615384615384616,"[['desconocido', 'duda', 'enigma', 'misterio', 'pregunta', 'respuesta', 'x'], ['secreto']]","[96, 4]"
2,interrogación,0.4264646054469602,3,0.4898956753784511,0.8705212698959028,0.8431372549019608,"[['cuestionamiento', 'cuestionario', 'duda', 'pregunta', 'preguntas', 'respuesta', 'saber'], ['signo'], ['policía']]","[84, 10, 6]"
3,interrogante,0.13288535368091622,2,0.1914332548141934,0.6941602377805036,0.9705882352941176,"[['cuestionamiento', 'cuestionar', 'cuestión', 'duda', 'incógnita', 'misterio', 'pregunta', 'problema', 'respuesta', 'signo'], ['saber']]","[97, 3]"
4,no sé,0.35342114449083745,3,0.38658840659608656,0.9142052334230943,0.8888888888888888,"[['desconocer', 'desconocimiento', 'desconozco', 'ignorancia', 'ignorante', 'ignorar', 'ignoro', 'nada', 'ni idea', 'no sé'], ['nariz'], ['duda']]","[89, 6, 5]"
5,pregunta,0.34747498390329673,2,0.5095157180881823,0.6819710787472879,0.8867924528301887,"[['consulta', 'cuestión', 'curiosidad', 'duda', 'examen', 'interrogación', 'interrogante', 'respuesta', 'signo'], ['conocimiento', 'saber']]","[89, 11]"
6,que,0.489673542611809,3,0.6921224087251573,0.7074955765610228,0.6944444444444444,"[['como', 'conector', 'cual', 'cuándo', 'donde', 'es', 'por qué', 'que'], ['pregunta'], ['queso']]","[69, 25, 6]"
7,signo,0.4331612877103392,2,0.617448295789468,0.7015345101187787,0.8469387755102041,"[['aries', 'astrología', 'capricornio', 'escorpio', 'horóscopo', 'leo', 'marca', 'negativo', 'positivo', 'señal', 'símbolo', 'síntoma', 'zodíaco'], ['matemática', 'menos', 'más']]","[85, 15]"
8,1,0,1,0,0,1.0,"[['2', '3', '4', 'dos', 'inicio', 'número', 'primero', 'solo', 'unidad', 'uno', 'yo', 'único']]",[100]
9,2,0,1,0,0,1.0,"[['3', '4', 'doble', 'dos', 'dúo', 'número', 'par', 'pareja', 'segundo', 'tres']]",[100]
10,3,0,1,0,0,1.0,"[['1', '2', 'cuatro', 'dos', 'impar', 'número', 'tercero', 'tres', 'trío']]",[100]
11,cero,0.19955953889214145,2,0.2192973081321754,0.9099953875031719,0.9649122807017544,"[['ausencia', 'izquierda', 'nada', 'ninguno', 'nulo', 'número', 'uno', 'vacío'], ['redondo']]","[96, 4]"
12,letra,0,1,0,0,1.0,"[['a', 'abecedario', 'alfabeto', 'canción', 'escritura', 'frase', 'idioma', 'leer', 'lenguaje', 'libro', 'mayúscula', 'minúscula', 'música', 'oración', 'palabra', 'palabras']]",[100]
13,nulo,0.3382803176656095,4,0.5243396950613457,0.645154888809309,0.7757009345794392,"[['blanco', 'cero', 'inexistente', 'nada', 'vacío'], ['inservible', 'inválido', 'inútil'], ['negativo'], ['anulado']]","[78, 15, 4, 4]"
14,número,0.5382495486423495,2,0.7478061583312325,0.7197714844224883,0.7866666666666666,"[['2', 'cantidad', 'cifra', 'contar', 'dos', 'impar', 'par', 'primo', 'tres', 'uno'], ['cuentas', 'matemática', 'matemáticas']]","[79, 21]"
15,4,0,1,0,0,1.0,"[['5', 'cantidad', 'cinco', 'cuarto', 'cuatro', 'familia', 'natural', 'número', 'par', 'patas', 'posición', 'tres']]",[100]
16,dos,0.10477046500191019,2,0.16132067110180365,0.6494546810792359,0.9763779527559056,"[['amor', 'compañía', 'cuatro', 'dúo', 'juntos', 'número', 'par', 'pareja', 'tres', 'uno'], ['patos']]","[98, 2]"
17,inicio,0.1669138516592753,3,0.24335670365006493,0.6858814618860439,0.9401709401709402,"[['arranque', 'comenzar', 'comienzo', 'empezar', 'fin', 'final', 'nuevo', 'principio'], ['Windows'], ['partida']]","[94, 3, 3]"
18,solo,0,1,0,0,1.0,"[['acompañado', 'aislado', 'libertad', 'libre', 'solamente', 'soledad', 'solitario', 'triste', 'tristeza', 'uno', 'único']]",[100]
19,yo,0,1,0,0,1.0,"[['ego', 'humano', 'individuo', 'mi', 'mujer', 'mío', 'nosotros', 'persona', 'ser', 'soy', 'sujeto', 'él']]",[100]
20,único,0.26830514070278755,2,0.388238977512362,0.6910824421132327,0.9239130434782609,"[['diferente', 'distinto', 'especial', 'exclusivo', 'inigualable', 'irrepetible', 'original', 'solitario', 'solo', 'sólo', 'uno'], ['personal', 'yo']]","[92, 8]"
21,10,0.4097122027980304,3,0.4928203705737716,0.8313621499067062,0.8313253012048193,"[['Diego', 'Maradona', 'Messi', 'decena', 'diez', 'fútbol', 'número', 'par'], ['calificación', 'escuela', 'nota'], ['excelente']]","[83, 13, 4]"
22,Diego,0.6788216566116072,3,0.7751453926953419,0.8757346208963496,0.47619047619047616,"[['hombre', 'nombre', 'persona', 'varón'], ['Maradona', 'diez', 'fútbol'], ['amigo']]","[48, 48, 5]"
23,Messi,0.32827086916980625,3,0.4096206124637022,0.8014022224013334,0.875,"[['Argentina', 'Barcelona', 'argentino', 'futbolista', 'fútbol', 'jugador', 'pelota'], ['crack', 'genio'], ['mejor']]","[88, 9, 3]"
24,calificación,0.3092625060816782,4,0.4250757127239972,0.72754687417882,0.8461538461538461,"[['aprobación', 'aprobar', 'evaluación', 'nota', 'notas', 'prueba', 'puntaje'], ['estudio', 'liceo'], ['juicio'], ['resultado']]","[85, 8, 4, 4]"
25,decena,0.3758988055224244,3,0.5649186788356817,0.6654033927452456,0.7831325301204819,"[['10', 'centena', 'diez', 'doce', 'docena'], ['matemática', 'número', 'números'], ['huevos']]","[78, 18, 4]"
26,diez,0.47615536458001445,4,0.5302413993897117,0.8979973369262598,0.7906976744186046,"[['decena', 'dedos', 'nueve', 'número', 'once'], ['Maradona', 'fútbol'], ['excelente', 'nota'], ['día']]","[79, 9, 7, 5]"
27,escuela,0.6688434423101923,2,0.8238116333123173,0.8118888047513471,0.7419354838709677,"[['aprender', 'aprendizaje', 'colegio', 'educación', 'enseñanza', 'estudio', 'formación', 'institución', 'liceo', 'maestra', 'maestros', 'moña', 'primaria', 'pública', 'recreo', 'túnica'], ['alegría', 'amigos', 'infancia', 'niñez', 'niños']]","[74, 26]"
28,excelente,0.44775618953017404,2,0.5617526078313282,0.7970700683682759,0.868421052631579,"[['bien', 'brillante', 'bueno', 'buenísimo', 'genial', 'increíble', 'maravilloso', 'muy bueno', 'perfecto', 'satisfactorio', 'sobresaliente'], ['calificación', 'nota', 'promedio']]","[87, 13]"
29,fútbol,0,1,0,0,1.0,"[['Maradona', 'Messi', 'arco', 'boca', 'cancha', 'deporte', 'equipos', 'gol', 'juego', 'jugadores', 'mundial', 'pasión', 'pelota']]",[100]
30,nota,0.7960532503234758,3,0.9745709069530955,0.816824352793643,0.4470588235294118,"[['apuntes', 'escribir', 'excelente', 'hoja', 'importante', 'lápiz', 'mensaje', 'papel'], ['musical', 'música'], ['apunte', 'calificación', 'calificar', 'examen']]","[45, 28, 27]"
31,par,0,1,0,0,1.0,"[['amigo', 'colega', 'compañero', 'doble', 'dos', 'dúo', 'igual', 'impar', 'juntos', 'número', 'pareja', 'zapatos']]",[100]
32,100,0.502491125543397,5,0.6488914751748014,0.774383922069609,0.6808510638297872,"[['centena', 'cien', 'mil', 'número', 'porcentaje'], ['pesos', 'plata'], ['cantidad', 'mucho'], ['años', 'siglo'], ['serie']]","[68, 11, 10, 9, 3]"
33,años,0.4844197843173856,2,0.6789538995185759,0.7134796407545076,0.8205128205128205,"[['cumpleaños', 'días', 'edad', 'experiencia', 'meses', 'período', 'sabiduría', 'tiempo', 'vejez', 'viejo'], ['muchos', 'pocos', 'vida']]","[82, 18]"
34,cantidad,0.4716792595663519,3,0.5846948392141763,0.8067101467840624,0.7938144329896907,"[['calidad', 'cosas', 'demasiado', 'mucha', 'mucho', 'muchos', 'peso', 'poco', 'varios', 'volumen'], ['número', 'números', 'suma'], ['dinero', 'plata']]","[79, 13, 7]"
35,centena,0.3051327221764925,4,0.43027601598279974,0.7091557763904976,0.8450704225352113,"[['100', 'cien', 'decena', 'número', 'números'], ['unidad'], ['cantidad'], ['pan']]","[85, 7, 4, 4]"
36,mil,0.6400373456713484,2,0.8481636883083002,0.7546153584432871,0.7252747252747253,"[['billete', 'cantidad', 'cien', 'dinero', 'dólares', 'millón', 'mucho', 'muchos', 'pesos', 'plata'], ['cero', 'número', 'uno']]","[73, 27]"
37,mucho,0.23146236591721042,2,0.25387844029816153,0.911705482534771,0.9574468085106383,"[['abundancia', 'abundante', 'bastante', 'cantidad', 'demasiado', 'exceso', 'montón', 'más', 'poco'], ['amor']]","[96, 4]"
38,pesos,0,1,0,0,1.0,"[['comprar', 'dinero', 'dólar', 'dólares', 'kilos', 'moneda', 'monedas', 'pesas', 'plata', 'valor']]",[100]
39,plata,0.23558331001053165,3,0.2987981661927237,0.7884362645605438,0.9217391304347826,"[['anillo', 'dinero', 'metal', 'moneda', 'oro', 'plateado', 'poder', 'trabajo'], ['río'], ['brillo']]","[92, 4, 3]"
40,porcentaje,0.660943310819981,4,0.987772232454757,0.6691252184498457,0.32098765432098764,"[['fracción', 'parte', 'porción', 'proporción'], ['estadística', 'estadísticas', 'promedio', 'símbolo'], ['dinero', 'economía', 'matemática', 'matemáticas', 'números'], ['cantidad', 'cien', 'número']]","[32, 26, 22, 20]"
41,serie,0.2295562155395188,3,0.3104471878145016,0.7394372522925968,0.9178082191780822,"[['Netflix', 'TV', 'actores', 'comedia', 'entretenimiento', 'numérica', 'números', 'película', 'secuencia', 'tele', 'televisión'], ['continuidad'], ['sucesión']]","[92, 4, 4]"
42,siglo,0,1,0,0,1.0,"[['100', 'años', 'cien', 'historia', 'mucho', 'pasado', 'tiempo', 'veinte']]",[100]
43,12,0.463360279240974,3,0.5363836459519391,0.863859818877647,0.8023255813953488,"[['13', 'apóstoles', 'doce', 'docena', 'huevos', 'número', 'once', 'trece'], ['año', 'horas', 'meses'], ['boca']]","[80, 16, 3]"
